"CRICTICAL PATH for all.sln  |  Build Started: 2022-09-05 21:02:06  |  Processors: 1  |  Cores: 4  |  CPU Speed: 3.4GHz  |  Hyper Threading: Enabled  |  RAM: 32GB  |  HDD: 2 SSD"
"Summary Report:"
"Critical Path Order", "Project Name", "Build Time in [s] (Sorted Descending)", "Start Time [s]", "End Time [s]"
"5", "axis.vcxproj", "95", "185", "281"
"8", "core.vcxproj", "82", "392", "474"
"4", "aura.vcxproj", "80", "105", "185"
"9", "multimedia.vcxproj", "76", "636", "713"
"10", "veriwell_multimedia.vcxproj", "55", "713", "769"
"6", "base.vcxproj", "50", "281", "331"
"2", "apex.vcxproj", "46", "41", "88"
"1", "acme.vcxproj", "41", "0", "41"
"12", "asciimedia.vcxproj", "32", "787", "820"
"7", "bred.vcxproj", "26", "365", "392"
"13", "musical_player_lite.vcxproj", "21", "820", "841"
"14", "musical_player.vcxproj", "18", "841", "860"
"11", "veriwell.vcxproj", "17", "769", "787"
"3", "aqua.vcxproj", "16", "88", "105"
"15", "shared_app_veriwell_musical_player.vcxproj", "4", "860", "865"
